jurisdiction,date,deaths,cause
United States,2015-03-14,13195,heart
United States,2015-03-14,55741,all
United States,2015-03-14,51560,natural
United States,2015-03-21,11683,cancer
United States,2015-03-21,12823,heart
United States,2015-03-21,54462,all
United States,2015-03-21,50354,natural
United States,2015-03-28,11765,cancer
United States,2015-03-28,12574,heart
United States,2015-03-28,53404,all
United States,2015-03-28,49528,natural
United States,2015-04-04,11258,cancer
United States,2015-04-04,12670,heart
United States,2015-04-04,53210,all
United States,2015-04-04,49168,natural
United States,2015-04-11,11390,cancer
United States,2015-04-11,12523,heart
United States,2015-04-11,52839,all
United States,2015-04-11,48817,natural
United States,2015-04-18,11572,cancer
United States,2015-04-18,12445,heart
United States,2015-04-18,52881,all
United States,2015-04-18,48844,natural
United States,2015-04-25,11217,cancer
United States,2015-04-25,12074,heart
United States,2015-04-25,51626,all
United States,2015-04-25,47690,natural
United States,2015-05-02,11411,cancer
United States,2015-05-02,12254,heart
United States,2015-05-02,51488,all
United States,2015-05-02,47483,natural
United States,2015-05-09,11367,cancer
United States,2015-05-09,12107,heart
United States,2015-05-09,51693,all
United States,2015-05-09,47415,natural
United States,2015-05-16,11356,cancer
United States,2015-05-16,11847,heart
United States,2015-05-16,50716,all
United States,2015-05-16,46505,natural
United States,2015-05-23,11080,cancer
United States,2015-05-23,11501,heart
United States,2015-05-23,49396,all
United States,2015-05-23,45330,natural
United States,2015-05-30,11339,cancer
United States,2015-05-30,11648,heart
United States,2015-05-30,49849,all
United States,2015-05-30,45765,natural
United States,2015-06-06,11189,cancer
United States,2015-06-06,11372,heart
United States,2015-06-06,49260,all
United States,2015-06-06,44973,natural
United States,2015-06-13,11172,cancer
United States,2015-06-13,11437,heart
United States,2015-06-13,49813,all
United States,2015-06-13,45527,natural
United States,2015-06-20,11265,cancer
United States,2015-06-20,11252,heart
United States,2015-06-20,49117,all
United States,2015-06-20,44901,natural
United States,2015-06-27,11257,cancer
United States,2015-06-27,11314,heart
United States,2015-06-27,49071,all
United States,2015-06-27,44790,natural
United States,2015-07-04,11413,cancer
United States,2015-07-04,11325,heart
United States,2015-07-04,49247,all
United States,2015-07-04,44972,natural
United States,2015-07-11,11070,cancer
United States,2015-07-11,11377,heart
United States,2015-07-11,48950,all
United States,2015-07-11,44481,natural
United States,2015-07-18,11380,cancer
United States,2015-07-18,11406,heart
United States,2015-07-18,49266,all
United States,2015-07-18,44924,natural
United States,2015-07-25,11372,cancer
United States,2015-07-25,11297,heart
United States,2015-07-25,48661,all
United States,2015-07-25,44437,natural
United States,2015-08-01,11234,cancer
United States,2015-08-01,11336,heart
United States,2015-08-01,48714,all
United States,2015-08-01,44340,natural
United States,2015-08-08,11212,cancer
United States,2015-08-08,10977,heart
United States,2015-08-08,48323,all
United States,2015-08-08,43912,natural
United States,2015-08-15,11365,cancer
United States,2015-08-15,11068,heart
United States,2015-08-15,48194,all
United States,2015-08-15,43983,natural
United States,2015-08-22,11383,cancer
United States,2015-08-22,11063,heart
United States,2015-08-22,48468,all
United States,2015-08-22,44159,natural
United States,2015-08-29,11331,cancer
United States,2015-08-29,11115,heart
United States,2015-08-29,48522,all
United States,2015-08-29,44277,natural
United States,2015-09-05,11451,cancer
United States,2015-09-05,10988,heart
United States,2015-09-05,48753,all
United States,2015-09-05,44339,natural
United States,2015-09-12,11307,cancer
United States,2015-09-12,11172,heart
United States,2015-09-12,48820,all
United States,2015-09-12,44469,natural
United States,2015-09-19,11447,cancer
United States,2015-09-19,11200,heart
United States,2015-09-19,48972,all
United States,2015-09-19,44920,natural
United States,2015-09-26,11383,cancer
United States,2015-09-26,11153,heart
United States,2015-09-26,49307,all
United States,2015-09-26,45072,natural
United States,2015-10-03,11519,cancer
United States,2015-10-03,11229,heart
United States,2015-10-03,48888,all
United States,2015-10-03,44765,natural
United States,2015-10-10,11649,cancer
United States,2015-10-10,11757,heart
United States,2015-10-10,51096,all
United States,2015-10-10,46634,natural
United States,2015-10-17,11382,cancer
United States,2015-10-17,11417,heart
United States,2015-10-17,50038,all
United States,2015-10-17,45818,natural
United States,2015-10-24,11429,cancer
United States,2015-10-24,11748,heart
United States,2015-10-24,50927,all
United States,2015-10-24,46778,natural
United States,2015-10-31,11464,cancer
United States,2015-10-31,11564,heart
United States,2015-10-31,50484,all
United States,2015-10-31,46400,natural
United States,2015-11-07,11509,cancer
United States,2015-11-07,11753,heart
United States,2015-11-07,51179,all
United States,2015-11-07,46921,natural
United States,2015-11-14,11274,cancer
United States,2015-11-14,11679,heart
United States,2015-11-14,50753,all
United States,2015-11-14,46703,natural
United States,2015-11-21,11547,cancer
United States,2015-11-21,12122,heart
United States,2015-11-21,51813,all
United States,2015-11-21,47706,natural
United States,2015-11-28,11323,cancer
United States,2015-11-28,12124,heart
United States,2015-11-28,51496,all
United States,2015-11-28,47523,natural
United States,2015-12-05,11227,cancer
United States,2015-12-05,12327,heart
United States,2015-12-05,52070,all
United States,2015-12-05,47915,natural
United States,2015-12-12,11691,cancer
United States,2015-12-12,12722,heart
United States,2015-12-12,53755,all
United States,2015-12-12,49519,natural
United States,2015-12-19,11369,cancer
United States,2015-12-19,12343,heart
United States,2015-12-19,52273,all
United States,2015-12-19,48165,natural
United States,2015-12-26,11467,cancer
United States,2015-12-26,12542,heart
United States,2015-12-26,53216,all
United States,2015-12-26,49236,natural
United States,2016-01-02,11046,cancer
United States,2016-01-02,12542,heart
United States,2016-01-02,52615,all
United States,2016-01-02,48573,natural
United States,2016-01-09,11739,cancer
United States,2016-01-09,13170,heart
United States,2016-01-09,55865,all
United States,2016-01-09,51720,natural
United States,2016-01-16,11835,cancer
United States,2016-01-16,13209,heart
United States,2016-01-16,55596,all
United States,2016-01-16,51441,natural
United States,2016-01-23,11638,cancer
United States,2016-01-23,12999,heart
United States,2016-01-23,55231,all
United States,2016-01-23,51221,natural
United States,2016-01-30,11850,cancer
United States,2016-01-30,13102,heart
United States,2016-01-30,55665,all
United States,2016-01-30,51456,natural
United States,2016-02-06,11428,cancer
United States,2016-02-06,13022,heart
United States,2016-02-06,55142,all
United States,2016-02-06,50817,natural
United States,2016-02-13,11874,cancer
United States,2016-02-13,13299,heart
United States,2016-02-13,55465,all
United States,2016-02-13,51151,natural
United States,2016-02-20,11703,cancer
United States,2016-02-20,13439,heart
United States,2016-02-20,56176,all
United States,2016-02-20,51836,natural
United States,2016-02-27,11615,cancer
United States,2016-02-27,12977,heart
United States,2016-02-27,55203,all
United States,2016-02-27,50943,natural
United States,2016-03-05,11767,cancer
United States,2016-03-05,13099,heart
United States,2016-03-05,55935,all
United States,2016-03-05,51532,natural
United States,2016-03-12,11852,cancer
United States,2016-03-12,13176,heart
United States,2016-03-12,56233,all
United States,2016-03-12,51711,natural
United States,2016-03-19,11472,cancer
United States,2016-03-19,12773,heart
United States,2016-03-19,54585,all
United States,2016-03-19,50137,natural
United States,2016-03-26,11544,cancer
United States,2016-03-26,12808,heart
United States,2016-03-26,54814,all
United States,2016-03-26,50381,natural
United States,2016-04-02,11447,cancer
United States,2016-04-02,12698,heart
United States,2016-04-02,53946,all
United States,2016-04-02,49533,natural
United States,2016-04-09,11440,cancer
United States,2016-04-09,12580,heart
United States,2016-04-09,54074,all
United States,2016-04-09,49524,natural
United States,2016-04-16,11383,cancer
United States,2016-04-16,12492,heart
United States,2016-04-16,53495,all
United States,2016-04-16,49167,natural
United States,2016-04-23,11342,cancer
United States,2016-04-23,12496,heart
United States,2016-04-23,53164,all
United States,2016-04-23,48746,natural
United States,2016-04-30,11141,cancer
United States,2016-04-30,11825,heart
United States,2016-04-30,51082,all
United States,2016-04-30,46789,natural
United States,2016-05-07,11366,cancer
United States,2016-05-07,11757,heart
United States,2016-05-07,51282,all
United States,2016-05-07,46855,natural
United States,2016-05-14,11189,cancer
United States,2016-05-14,11856,heart
United States,2016-05-14,51006,all
United States,2016-05-14,46494,natural
United States,2016-05-21,11254,cancer
United States,2016-05-21,11604,heart
United States,2016-05-21,50471,all
United States,2016-05-21,46298,natural
United States,2016-05-28,11085,cancer
United States,2016-05-28,11683,heart
United States,2016-05-28,50492,all
United States,2016-05-28,46004,natural
United States,2016-06-04,11004,cancer
United States,2016-06-04,11673,heart
United States,2016-06-04,49714,all
United States,2016-06-04,45198,natural
United States,2016-06-11,11124,cancer
United States,2016-06-11,11320,heart
United States,2016-06-11,49918,all
United States,2016-06-11,45305,natural
United States,2016-06-18,11132,cancer
United States,2016-06-18,11534,heart
United States,2016-06-18,49915,all
United States,2016-06-18,45349,natural
United States,2016-06-25,11182,cancer
United States,2016-06-25,11546,heart
United States,2016-06-25,49625,all
United States,2016-06-25,45072,natural
United States,2016-07-02,11067,cancer
United States,2016-07-02,11378,heart
United States,2016-07-02,49754,all
United States,2016-07-02,45069,natural
United States,2016-07-09,11230,cancer
United States,2016-07-09,11378,heart
United States,2016-07-09,49706,all
United States,2016-07-09,44910,natural
United States,2016-07-16,11207,cancer
United States,2016-07-16,11229,heart
United States,2016-07-16,49639,all
United States,2016-07-16,45029,natural
United States,2016-07-23,11192,cancer
United States,2016-07-23,11092,heart
United States,2016-07-23,49284,all
United States,2016-07-23,44648,natural
United States,2016-07-30,11408,cancer
United States,2016-07-30,11224,heart
United States,2016-07-30,49701,all
United States,2016-07-30,44996,natural
United States,2016-08-06,11257,cancer
United States,2016-08-06,11277,heart
United States,2016-08-06,49510,all
United States,2016-08-06,44700,natural
United States,2016-08-13,11462,cancer
United States,2016-08-13,11302,heart
United States,2016-08-13,49747,all
United States,2016-08-13,45110,natural
United States,2016-08-20,11512,cancer
United States,2016-08-20,11372,heart
United States,2016-08-20,49816,all
United States,2016-08-20,45211,natural
United States,2016-08-27,11364,cancer
United States,2016-08-27,11061,heart
United States,2016-08-27,49519,all
United States,2016-08-27,44957,natural
United States,2016-09-03,11469,cancer
United States,2016-09-03,11014,heart
United States,2016-09-03,49591,all
United States,2016-09-03,45028,natural
United States,2016-09-10,11375,cancer
United States,2016-09-10,11427,heart
United States,2016-09-10,50084,all
United States,2016-09-10,45241,natural
United States,2016-09-17,11298,cancer
United States,2016-09-17,11130,heart
United States,2016-09-17,49926,all
United States,2016-09-17,45432,natural
United States,2016-09-24,11298,cancer
United States,2016-09-24,11258,heart
United States,2016-09-24,49892,all
United States,2016-09-24,45413,natural
United States,2016-10-01,11422,cancer
United States,2016-10-01,11336,heart
United States,2016-10-01,50267,all
United States,2016-10-01,45822,natural
United States,2016-10-08,11567,cancer
United States,2016-10-08,11673,heart
United States,2016-10-08,51414,all
United States,2016-10-08,46630,natural
United States,2016-10-15,11540,cancer
United States,2016-10-15,11946,heart
United States,2016-10-15,52144,all
United States,2016-10-15,47570,natural
United States,2016-10-22,11471,cancer
United States,2016-10-22,11841,heart
United States,2016-10-22,51462,all
United States,2016-10-22,46997,natural
United States,2016-10-29,11402,cancer
United States,2016-10-29,11909,heart
United States,2016-10-29,51879,all
United States,2016-10-29,47325,natural
United States,2016-11-05,11354,cancer
United States,2016-11-05,11901,heart
United States,2016-11-05,51768,all
United States,2016-11-05,47118,natural
United States,2016-11-12,11498,cancer
United States,2016-11-12,12104,heart
United States,2016-11-12,52546,all
United States,2016-11-12,47992,natural
United States,2016-11-19,11749,cancer
United States,2016-11-19,12302,heart
United States,2016-11-19,53464,all
United States,2016-11-19,48824,natural
United States,2016-11-26,11320,cancer
United States,2016-11-26,12457,heart
United States,2016-11-26,53171,all
United States,2016-11-26,48629,natural
